age,address,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,outcome,first_name,second_name,age_group,date,geo_category,frequency
35,"056 pfannerstill cape st.\neast marta, nj 21058",management,single,tertiary,False,1350,True,False,cellular,16,apr,185,1,330,1,failure,False,talon,gulgowski,3,16/04,water,29
39,"75306 Sterling Isle\nStaceyland, RI 02213-3936",blue-collar,married,secondary,False,0,True,False,cellular,30,apr,53,1,325,1,failure,False,jayne,kertzmann,3,30/04,water,29
33,"188 M3dhurst Rapid \nW3st Amarif0rt, M3 97698",management,single,tertiary,False,1240,True,False,cellular,4,feb,505,2,260,1,other,False,britney,hirthe,3,04/02,water,29
37,"3623 Barry Bridge \nWinonaborough, GA 64781-0714",management,single,tertiary,False,876,True,False,cellular,15,apr,140,4,327,2,failure,False,fernando,balistreri,3,15/04,water,29
32,"95289 Welch River\nKurtisland, HI 57529-8854",management,single,tertiary,False,12607,False,False,cellular,14,aug,203,5,84,1,failure,False,josie,goyette,3,14/08,water,29
37,"501 J0an Island Apt. 889\nAri3lp0rt, NC 50913-4997",admin.,married,secondary,False,1314,True,False,cellular,8,may,682,2,85,7,success,False,alyson,zulauf,3,08/05,water,29
37,"29603 Stanton River\nSchimmelhaven, FL 42341-3311",management,divorced,secondary,False,414,False,False,cellular,29,jan,293,2,162,4,failure,False,larry,kihn,3,29/01,water,29
30,"4543 gertrude tunnel ave.\nport destinmouth, md 49985",blue-collar,single,secondary,False,445,True,False,cellular,16,apr,218,1,330,2,failure,False,marlene,carroll,3,16/04,water,29
38,"2231 vance wall ave.\nlake malloryhaven, mh 12544-0774",management,married,tertiary,False,-70,True,False,cellular,30,jan,140,1,2,3,other,False,immanuel,dach,3,30/01,water,29
35,"6912 Bechtelar Shores Ave.\nHodkiewiczmouth, CO 13678",technician,married,secondary,False,2789,True,False,cellular,4,sep,256,2,94,1,failure,False,emmalee,klocko,3,04/09,water,29
36,"6534 STI3D3MANN RAPID AV3.\NH3TTI3VILL3, IN 96793",management,single,tertiary,False,243,True,False,cellular,7,may,160,2,360,3,failure,False,meda,gleason,3,07/05,water,29
32,"871 antwon islands suite 086\nbraunside, az 36122",technician,single,tertiary,False,5514,False,False,cellular,22,apr,319,1,182,1,success,True,rebecca,weissnat,3,22/04,water,29
37,"8132 LEUSCHKE ESTATES SUITE 205\NLAKE RANDI, KS 06114-4141",blue-collar,married,primary,False,37,True,False,cellular,13,may,24,2,362,1,other,False,chris,predovic,3,13/05,water,29
33,"6437 CAROLINA JUNCTION \NLAKE ROWLAND, ME 86745-3438",blue-collar,married,secondary,False,687,True,False,cellular,14,may,72,2,370,1,failure,False,kyle,hackett,3,14/05,water,29
